user_id,first_name,last_name,email,cohort,opened,clicked_pre,clicked_post
user_035,Priya,Reddy,priya.reddy34@example.com,control,1,0,0
user_036,Priya,Iyer,priya.iyer35@example.com,control,0,1,0
user_037,Aisha,Rao,aisha.rao36@example.com,control,0,0,0
user_038,Saanvi,Saxena,saanvi.saxena37@example.com,control,1,0,1
user_039,Sidharth,Saxena,sidharth.saxena38@example.com,control,0,0,1
user_040,Arjun,Verma,arjun.verma39@example.com,control,0,1,1
user_041,Pooja,Bose,pooja.bose40@example.com,control,1,1,1
user_042,Meera,Tripathi,meera.tripathi41@example.com,control,1,0,1
user_043,Rohan,Chopra,rohan.chopra42@example.com,control,1,1,1
user_044,Meera,Sharma,meera.sharma43@example.com,control,0,0,0
user_045,Priya,Gupta,priya.gupta44@example.com,control,0,0,0
user_046,Saanvi,Verma,saanvi.verma45@example.com,control,1,0,1
user_047,Aisha,Chopra,aisha.chopra46@example.com,control,1,0,0
user_048,Aisha,Saxena,aisha.saxena47@example.com,control,1,1,1
user_049,Aarav,Rao,aarav.rao48@example.com,control,1,0,0
user_050,Neha,Kumar,neha.kumar49@example.com,control,0,0,1
user_051,Ishaan,Sharma,ishaan.sharma50@example.com,control,1,0,0
user_052,Aisha,Malhotra,aisha.malhotra51@example.com,control,1,1,0
user_053,Divya,Kapoor,divya.kapoor52@example.com,control,0,0,0
user_054,Karan,Kapoor,karan.kapoor53@example.com,control,0,1,1
user_055,Aarav,Singh,aarav.singh54@example.com,control,1,0,1
user_056,Saanvi,Gupta,saanvi.gupta55@example.com,control,1,0,1
user_057,Ishaan,Bose,ishaan.bose56@example.com,control,0,1,1
user_058,Kabir,Rao,kabir.rao57@example.com,control,1,0,0
user_059,Pooja,Joshi,pooja.joshi58@example.com,control,1,0,1
user_060,Meera,Sharma,meera.sharma59@example.com,control,1,0,0
user_061,Sidharth,Mehta,sidharth.mehta60@example.com,control,1,0,0
user_062,Sidharth,Tripathi,sidharth.tripathi61@example.com,control,1,1,0
user_063,Rohan,Sharma,rohan.sharma62@example.com,control,0,0,1
user_064,Arjun,Reddy,arjun.reddy63@example.com,control,0,0,0
user_065,Saanvi,Gupta,saanvi.gupta64@example.com,control,0,1,0
user_066,Sidharth,Tripathi,sidharth.tripathi65@example.com,control,1,0,1
user_067,Rohan,Chopra,rohan.chopra66@example.com,control,0,0,1
user_068,Manav,Patel,manav.patel67@example.com,control,1,0,0
user_069,Rahul,Sharma,rahul.sharma68@example.com,control,0,1,0
user_070,Saanvi,Desai,saanvi.desai69@example.com,control,1,0,0
user_071,Neha,Iyer,neha.iyer70@example.com,control,1,0,1
user_072,Rohan,Desai,rohan.desai71@example.com,control,1,1,1
user_073,Ananya,Sharma,ananya.sharma72@example.com,control,1,1,0
user_074,Rohan,Reddy,rohan.reddy73@example.com,control,1,0,1
user_075,Aarav,Iyer,aarav.iyer74@example.com,control,0,1,1
user_076,Ishaan,Tripathi,ishaan.tripathi75@example.com,control,0,1,1
user_077,Divya,Verma,divya.verma76@example.com,control,1,0,1
user_078,Kabir,Iyer,kabir.iyer77@example.com,control,0,1,1
user_079,Kabir,Desai,kabir.desai78@example.com,control,1,0,0
user_080,Sidharth,Verma,sidharth.verma79@example.com,control,0,0,0
user_081,Sneha,Patel,sneha.patel80@example.com,control,1,0,1
user_082,Pooja,Joshi,pooja.joshi81@example.com,control,0,0,0
user_083,Ananya,Bose,ananya.bose82@example.com,control,1,0,0
user_084,Saanvi,Rao,saanvi.rao83@example.com,control,1,0,0
user_085,Rohan,Desai,rohan.desai84@example.com,control,1,1,1
user_086,Vihaan,Tripathi,vihaan.tripathi85@example.com,control,1,0,0
user_087,Rahul,Malhotra,rahul.malhotra86@example.com,control,1,0,1
user_088,Divya,Chopra,divya.chopra87@example.com,control,1,1,1
user_089,Sidharth,Mehta,sidharth.mehta88@example.com,control,1,0,1
user_090,Meera,Reddy,meera.reddy89@example.com,control,0,1,0
user_091,Sneha,Khan,sneha.khan90@example.com,control,0,0,1
user_092,Kabir,Nair,kabir.nair91@example.com,control,1,0,1
user_093,Divya,Tripathi,divya.tripathi92@example.com,control,1,0,1
user_094,Sneha,Chopra,sneha.chopra93@example.com,control,0,1,0
user_095,Rohan,Kumar,rohan.kumar94@example.com,control,0,0,0
user_096,Meera,Tripathi,meera.tripathi95@example.com,control,0,1,1
user_097,Priya,Malhotra,priya.malhotra96@example.com,control,0,0,0
user_098,Sidharth,Khan,sidharth.khan97@example.com,control,1,0,0
user_099,Meera,Gupta,meera.gupta98@example.com,control,1,1,1
user_100,Rahul,Tripathi,rahul.tripathi99@example.com,control,1,0,0
user_101,Divya,Joshi,divya.joshi100@example.com,training,0,0,1
user_102,Kabir,Iyer,kabir.iyer101@example.com,training,1,1,0
user_103,Manav,Chopra,manav.chopra102@example.com,training,1,0,1
user_104,Saanvi,Rao,saanvi.rao103@example.com,training,0,1,1
user_105,Aisha,Gupta,aisha.gupta104@example.com,training,1,0,0
user_106,Ananya,Gupta,ananya.gupta105@example.com,training,1,0,0
user_107,Vihaan,Reddy,vihaan.reddy106@example.com,training,0,1,0
user_108,Aarav,Saxena,aarav.saxena107@example.com,training,0,0,0
user_109,Saanvi,Kumar,saanvi.kumar108@example.com,training,0,1,0
user_110,Ishaan,Bose,ishaan.bose109@example.com,training,0,1,0
user_111,Aarav,Sharma,aarav.sharma110@example.com,training,1,1,0
user_112,Karan,Joshi,karan.joshi111@example.com,training,1,0,0
user_113,Aisha,Kumar,aisha.kumar112@example.com,training,0,0,1
user_114,Saanvi,Iyer,saanvi.iyer113@example.com,training,0,1,0
user_115,Neha,Chopra,neha.chopra114@example.com,training,1,1,0
user_116,Aarav,Tripathi,aarav.tripathi115@example.com,training,0,0,0
user_117,Arjun,Patel,arjun.patel116@example.com,training,1,1,0
user_118,Aarav,Desai,aarav.desai117@example.com,training,1,1,0
user_119,Aisha,Mehta,aisha.mehta118@example.com,training,1,1,0
user_120,Kabir,Malhotra,kabir.malhotra119@example.com,training,0,1,1
user_121,Pooja,Patel,pooja.patel120@example.com,training,0,0,0
user_122,Ishaan,Saxena,ishaan.saxena121@example.com,training,1,0,1
user_123,Sneha,Malhotra,sneha.malhotra122@example.com,training,0,1,0
user_124,Karan,Bose,karan.bose123@example.com,training,0,0,0
user_125,Priya,Patel,priya.patel124@example.com,training,1,1,0
user_126,Sidharth,Mehta,sidharth.mehta125@example.com,training,1,0,0
user_127,Aisha,Gupta,aisha.gupta126@example.com,training,1,1,0
user_128,Saanvi,Verma,saanvi.verma127@example.com,training,0,0,1
user_129,Pooja,Bose,pooja.bose128@example.com,training,1,0,0
user_130,Vihaan,Desai,vihaan.desai129@example.com,training,1,0,0
user_131,Rahul,Chopra,rahul.chopra130@example.com,training,1,0,0
user_132,Kabir,Rao,kabir.rao131@example.com,training,1,0,1
user_133,Karan,Singh,karan.singh132@example.com,training,1,0,0
user_134,Neha,Kapoor,neha.kapoor133@example.com,training,1,1,0
user_135,Sidharth,Khan,sidharth.khan134@example.com,training,0,1,1
user_136,Rahul,Verma,rahul.verma135@example.com,training,1,0,0
user_137,Rohan,Bose,rohan.bose136@example.com,training,1,1,0
user_138,Divya,Tripathi,divya.tripathi137@example.com,training,1,0,0
user_139,Vihaan,Joshi,vihaan.joshi138@example.com,training,1,0,0
user_140,Manav,Gupta,manav.gupta139@example.com,training,1,0,0
user_141,Rohan,Kumar,rohan.kumar140@example.com,training,0,1,0
user_142,Rahul,Kumar,rahul.kumar141@example.com,training,0,0,0
user_143,Priya,Kumar,priya.kumar142@example.com,training,1,0,0
user_144,Vihaan,Singh,vihaan.singh143@example.com,training,1,0,1
user_145,Priya,Patel,priya.patel144@example.com,training,1,1,0
user_146,Karan,Kumar,karan.kumar145@example.com,training,0,1,0
user_147,Kavya,Malhotra,kavya.malhotra146@example.com,training,0,0,1
user_148,Ananya,Malhotra,ananya.malhotra147@example.com,training,1,1,0
user_149,Aarav,Kapoor,aarav.kapoor148@example.com,training,1,0,0
user_150,Ananya,Joshi,ananya.joshi149@example.com,training,1,0,0
user_151,Sneha,Iyer,sneha.iyer150@example.com,training,1,1,0
user_152,Ishaan,Saxena,ishaan.saxena151@example.com,training,1,1,1
user_153,Kabir,Mehta,kabir.mehta152@example.com,training,1,0,0
user_154,Karan,Iyer,karan.iyer153@example.com,training,0,1,0
user_155,Kabir,Chopra,kabir.chopra154@example.com,training,1,0,1
user_156,Kavya,Nair,kavya.nair155@example.com,training,0,0,0
user_157,Rohan,Iyer,rohan.iyer156@example.com,training,1,1,1
user_158,Rahul,Bose,rahul.bose157@example.com,training,1,1,0
user_159,Neha,Malhotra,neha.malhotra158@example.com,training,0,0,0
user_160,Aarav,Tripathi,aarav.tripathi159@example.com,training,0,0,0
user_161,Kavya,Gupta,kavya.gupta160@example.com,training,0,0,1
user_162,Arjun,Malhotra,arjun.malhotra161@example.com,training,1,0,1
user_163,Aarav,Saxena,aarav.saxena162@example.com,training,0,0,1
user_164,Aarav,Iyer,aarav.iyer163@example.com,training,0,0,0
user_165,Ishaan,Bose,ishaan.bose164@example.com,training,1,1,0
user_166,Rahul,Mehta,rahul.mehta165@example.com,training,0,0,0
user_167,Kavya,Iyer,kavya.iyer166@example.com,training,1,0,1
user_168,Sidharth,Malhotra,sidharth.malhotra167@example.com,training,1,1,0
user_169,Meera,Nair,meera.nair168@example.com,training,0,0,0
user_170,Manav,Kapoor,manav.kapoor169@example.com,training,0,1,0
user_171,Pooja,Sharma,pooja.sharma170@example.com,training,1,1,1
user_172,Ananya,Rao,ananya.rao171@example.com,training,0,1,0
user_173,Sneha,Tripathi,sneha.tripathi172@example.com,training,1,1,0
user_174,Neha,Gupta,neha.gupta173@example.com,training,0,1,0
user_175,Rohan,Kapoor,rohan.kapoor174@example.com,training,1,1,0
user_176,Sidharth,Gupta,sidharth.gupta175@example.com,training,0,0,1
user_177,Sneha,Saxena,sneha.saxena176@example.com,training,0,1,0
user_178,Meera,Nair,meera.nair177@example.com,training,0,0,0
user_179,Karan,Nair,karan.nair178@example.com,training,1,1,0
user_180,Arjun,Saxena,arjun.saxena179@example.com,training,1,1,0
user_181,Kabir,Verma,kabir.verma180@example.com,training,0,0,1
user_182,Karan,Saxena,karan.saxena181@example.com,training,1,0,1
user_183,Karan,Khan,karan.khan182@example.com,training,1,0,1
user_184,Sidharth,Tripathi,sidharth.tripathi183@example.com,training,1,0,0
user_185,Pooja,Sharma,pooja.sharma184@example.com,training,0,0,0
user_186,Karan,Verma,karan.verma185@example.com,training,1,1,0
user_187,Kavya,Khan,kavya.khan186@example.com,training,0,0,1
user_188,Ishaan,Sharma,ishaan.sharma187@example.com,training,1,0,0
user_189,Kavya,Sharma,kavya.sharma188@example.com,training,1,0,0
user_190,Kavya,Mehta,kavya.mehta189@example.com,training,1,1,0
user_191,Kavya,Patel,kavya.patel190@example.com,training,0,1,0
user_192,Neha,Nair,neha.nair191@example.com,training,0,1,0
user_193,Neha,Rao,neha.rao192@example.com,training,1,1,0
user_194,Sidharth,Rao,sidharth.rao193@example.com,training,1,0,0
user_195,Ishaan,Sharma,ishaan.sharma194@example.com,training,0,0,0
user_196,Ishaan,Singh,ishaan.singh195@example.com,training,1,0,0
user_197,Priya,Chopra,priya.chopra196@example.com,training,1,0,1
user_198,Divya,Tripathi,divya.tripathi197@example.com,training,0,0,1
user_199,Karan,Verma,karan.verma198@example.com,training,1,0,0
user_200,Rahul,Khan,rahul.khan199@example.com,training,1,1,0
